"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NC","11","R","M","M001187", ,15,1.09589425308921,0.967344252513762,1.23837500742973,"Meadows (R NC-11)",394,"Mark","Meadows"
"MO","7","R","M","L000576", ,3,1.10293033771369,0.95701545558801,1.23629523370898,"Long (R MO-7)",395,"Billy","Long"
"NC","10","R","M","M001156","20522",34,1.1035174255548,0.960008462361179,1.23903823019904,"McHenry (R NC-10)",396,"Patrick","McHenry"
"UT","1","R","M","B001250","20357",65,1.1035250204109,0.967610541775708,1.24441259999797,"Bishop (R UT-1)",397,"Rob","Bishop"
"GA","3","R","M","W000796","20506",73,1.10567380043487,0.971005096906374,1.24483639969185,"Westmoreland (R GA-3)",398,"Lynn","Westmoreland"
"AZ","6","R","M","S001183", ,37,1.10636152360235,0.975421299516452,1.26127421937312,"Schweikert (R AZ-6)",399,"David","Schweikert"
"TX","13","R","M","T000238","29572",8,1.10936329338278,0.969639257729376,1.24787521843632,"Thornberry (R TX-13)",400,"William","Thornberry"
"IN","4","R","M","R000592", ,53,1.11343537763342,0.984071348487809,1.26215511666797,"Rokita (R IN-4)",401,"Todd","Rokita"
"OK","1","R","M","B001283", ,12,1.11619454850835,0.974675833558902,1.25077023684285,"Bridenstine (R OK-1)",402,"Jim","Bridenstine"
"FL","19","R","M","C001102","",995,1.12019526764335,0.867526980961337,1.37832164036665,"Clawson (R FL-19)",403,"Curt","Clawson"
"TX","3","R","M","J000174","29143",70,1.12056141703563,0.976411509690748,1.267722597454,"Johnson (R TX-3)",404,"Sam","Johnson"
